Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
03/09/2022,Aston Villa,Man City,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/09/2022,Brighton,Leicester,5,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/09/2022,Man United,Arsenal,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/09/2022,Aston Villa,Southampton,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/09/2022,Nott'm Forest,Fulham,2,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/09/2022,Wolves,Man City,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/09/2022,Newcastle,Bournemouth,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/09/2022,Tottenham,Leicester,6,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/09/2022,Brentford,Arsenal,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/09/2022,Everton,West Ham,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2022,Arsenal,Tottenham,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2022,Bournemouth,Brentford,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2022,Crystal Palace,Chelsea,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2022,Fulham,Newcastle,1,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2022,Liverpool,Brighton,3,3,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2022,Southampton,Everton,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2022,West Ham,Wolves,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/10/2022,Man City,Man United,6,3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/10/2022,Leeds,Aston Villa,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/10/2022,Leicester,Nott'm Forest,4,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/10/2022,Bournemouth,Leicester,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/10/2022,Chelsea,Wolves,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/10/2022,Man City,Southampton,4,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/10/2022,Newcastle,Brentford,5,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/10/2022,Brighton,Tottenham,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/10/2022,Crystal Palace,Leeds,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/10/2022,West Ham,Fulham,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/10/2022,Arsenal,Liverpool,3,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/10/2022,Everton,Man United,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2022,Nott'm Forest,Aston Villa,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/10/2022,Brentford,Brighton,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/10/2022,Leicester,Crystal Palace,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/10/2022,Fulham,Bournemouth,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/10/2022,Wolves,Nott'm Forest,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/10/2022,Tottenham,Everton,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/10/2022,Aston Villa,Chelsea,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/10/2022,Leeds,Arsenal,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/10/2022,Man United,Newcastle,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/10/2022,Southampton,West Ham,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/10/2022,Liverpool,Man City,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/10/2022,Brighton,Nott'm Forest,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/10/2022,Crystal Palace,Wolves,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10/2022,Bournemouth,Southampton,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10/2022,Brentford,Chelsea,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10/2022,Liverpool,West Ham,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10/2022,Newcastle,Everton,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10/2022,Man United,Tottenham,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/10/2022,Fulham,Aston Villa,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/10/2022,Leicester,Leeds,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2022,Nott'm Forest,Liverpool,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2022,Everton,Crystal Palace,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2022,Man City,Brighton,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2022,Chelsea,Man United,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/10/2022,Aston Villa,Brentford,4,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/10/2022,Leeds,Fulham,2,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/10/2022,Southampton,Arsenal,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/10/2022,Wolves,Leicester,0,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/10/2022,Tottenham,Newcastle,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/10/2022,West Ham,Bournemouth,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/10/2022,Leicester,Man City,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/10/2022,Bournemouth,Tottenham,2,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/10/2022,Brentford,Wolves,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/10/2022,Brighton,Chelsea,4,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/10/2022,Crystal Palace,Southampton,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/10/2022,Newcastle,Aston Villa,4,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/10/2022,Fulham,Everton,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/10/2022,Liverpool,Leeds,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2022,Arsenal,Nott'm Forest,5,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2022,Man United,West Ham,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/11/2022,Leeds,Bournemouth,4,3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/11/2022,Man City,Fulham,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/11/2022,Nott'm Forest,Brentford,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/11/2022,Wolves,Brighton,2,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/11/2022,Everton,Leicester,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2022,Chelsea,Arsenal,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2022,Aston Villa,Man United,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2022,Southampton,Newcastle,1,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2022,West Ham,Crystal Palace,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2022,Tottenham,Liverpool,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2022,Man City,Brentford,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2022,Bournemouth,Everton,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2022,Liverpool,Southampton,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2022,Nott'm Forest,Crystal Palace,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2022,Tottenham,Leeds,4,3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2022,West Ham,Leicester,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2022,Newcastle,Chelsea,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2022,Wolves,Arsenal,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2022,Brighton,Aston Villa,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2022,Fulham,Man United,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/12/2022,Brentford,Tottenham,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/12/2022,Crystal Palace,Fulham,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/12/2022,Everton,Wolves,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/12/2022,Leicester,Newcastle,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/12/2022,Southampton,Brighton,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/12/2022,Aston Villa,Liverpool,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/12/2022,Arsenal,West Ham,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/12/2022,Chelsea,Bournemouth,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/12/2022,Man United,Nott'm Forest,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/12/2022,Leeds,Man City,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/12/2022,West Ham,Brentford,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/12/2022,Liverpool,Leicester,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2022,Wolves,Man United,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2022,Bournemouth,Crystal Palace,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2022,Fulham,Southampton,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2022,Man City,Everton,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2022,Newcastle,Leeds,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2022,Brighton,Arsenal,2,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2023,Tottenham,Aston Villa,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2023,Nott'm Forest,Chelsea,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2023,Brentford,Liverpool,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2023,Arsenal,Newcastle,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2023,Everton,Brighton,1,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2023,Leicester,Fulham,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2023,Man United,Bournemouth,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2023,Southampton,Nott'm Forest,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2023,Leeds,West Ham,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2023,Aston Villa,Wolves,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2023,Crystal Palace,Tottenham,0,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023,Chelsea,Man City,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2023,Fulham,Chelsea,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2023,Aston Villa,Leeds,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/01/2023,Man United,Man City,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/01/2023,Brighton,Liverpool,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/01/2023,Everton,Southampton,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/01/2023,Nott'm Forest,Leicester,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/01/2023,Wolves,West Ham,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/01/2023,Brentford,Bournemouth,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/01/2023,Chelsea,Crystal Palace,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/01/2023,Newcastle,Fulham,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/01/2023,Tottenham,Arsenal,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/01/2023,Crystal Palace,Man United,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/01/2023,Man City,Tottenham,4,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/01/2023,Liverpool,Chelsea,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/01/2023,Bournemouth,Nott'm Forest,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/01/2023,Leicester,Brighton,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/01/2023,Southampton,Aston Villa,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/01/2023,West Ham,Everton,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/01/2023,Crystal Palace,Newcastle,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/01/2023,Leeds,Brentford,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/01/2023,Man City,Wolves,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/01/2023,Arsenal,Man United,3,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/01/2023,Fulham,Tottenham,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/02/2023,Chelsea,Fulham,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/02/2023,Everton,Arsenal,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/02/2023,Aston Villa,Leicester,2,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/02/2023,Brentford,Southampton,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/02/2023,Brighton,Bournemouth,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/02/2023,Man United,Crystal Palace,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/02/2023,Wolves,Liverpool,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/02/2023,Newcastle,West Ham,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/02/2023,Nott'm Forest,Leeds,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/02/2023,Tottenham,Man City,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2023,Man United,Leeds,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2023,West Ham,Chelsea,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2023,Arsenal,Brentford,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2023,Crystal Palace,Brighton,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2023,Fulham,Nott'm Forest,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2023,Leicester,Tottenham,4,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2023,Southampton,Wolves,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
